model,split,target,r2,rmse,mae
persistence,wf_2022,electricity_demand_per_capita_with_access (MWh),0.9966263818534102,0.057514428071654876,0.03892941551644674
persistence,wf_2022,energy_poverty_electricity (% of total population),0.9912621028086886,2.474549701746783,1.3396226415094339
persistence,wf_2022,energy_poverty_multidimensional (% of total population),0.9975804988434889,1.4027895053166086,0.8665094339622645
persistence,wf_2022,carbon_intensity_elec,0.9905517665667422,22.59352917048062,14.346603773584903
country_growth,wf_2022,electricity_demand (TWh),0.999709185229811,0.7498359742498495,0.4005659380199589
country_growth,wf_2022,electricity_demand_per_capita (MWh),0.9981429500753952,0.04103073465486835,0.026202981773290543
country_growth,wf_2022,electricity_demand_per_capita_with_access (MWh),0.995431218870984,0.06693126297844532,0.047559612777071165
country_growth,wf_2022,energy_poverty_electricity (% of total population),0.9920791493540952,2.3560181295670364,1.2303338921714508
country_growth,wf_2022,energy_poverty_multidimensional (% of total population),0.9982930727131357,1.1782490591755357,0.5898374216829984
country_growth,wf_2022,carbon_intensity_elec,0.9851583298487329,28.317189983653304,19.774782277918433
growth_model,wf_2023,electricity_demand (TWh),0.9976789756570698,2.1427346727787113,0.7487491268054302
growth_model,wf_2023,electricity_demand_per_capita (MWh),0.9942776316315394,0.07194721009714075,0.03964028943408759
growth_model,wf_2023,electricity_demand_per_capita_with_access (MWh),0.9888793521962199,0.10363142957056241,0.06852301459438058
growth_model,wf_2023,energy_poverty_electricity (% of total population),0.9855862648791561,3.183522089070349,1.862406868760151
growth_model,wf_2023,energy_poverty_multidimensional (% of total population),0.9976908578551466,1.3734234064136952,0.7931959297164028
growth_model,wf_2023,carbon_intensity_elec,0.968662849881424,41.01173025968379,25.323579503349773
persistence,wf_2023,electricity_demand (TWh),0.9989592011676668,1.4348679917839655,0.7076923076923071
persistence,wf_2023,electricity_demand_per_capita (MWh),0.9958929767623048,0.06095223462198889,0.034972369140519585
persistence,wf_2023,electricity_demand_per_capita_with_access (MWh),0.9896847345272171,0.09980829818463274,0.06717323560320307
persistence,wf_2023,energy_poverty_electricity (% of total population),0.9841257818453435,3.3409176537638228,2.0826923076923074
persistence,wf_2023,energy_poverty_multidimensional (% of total population),0.9955194048988464,1.9131409182485553,1.2937500000000002
persistence,wf_2023,carbon_intensity_elec,0.968850638325968,40.88866384181844,22.073076923076925
country_growth,wf_2023,electricity_demand (TWh),0.9994713694438908,1.0225973923642253,0.5649213173016292
country_growth,wf_2023,electricity_demand_per_capita (MWh),0.994835160625767,0.06835250919977642,0.03818616692676388
country_growth,wf_2023,electricity_demand_per_capita_with_access (MWh),0.9878714937799117,0.10822562523897865,0.06939066864961786
country_growth,wf_2023,energy_poverty_electricity (% of total population),0.9899404607609535,2.6595529647971623,1.5577699540071956
country_growth,wf_2023,energy_poverty_multidimensional (% of total population),0.9977245751464318,1.363359407873592,0.7760207873131423
country_growth,wf_2023,carbon_intensity_elec,0.9637245081158498,44.125028436753404,26.805947848491765
