Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
West Bank and Gaza,PSE,Access to electricity (% of total population),EG.ELC.ACCS.ZS,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
West Bank and Gaza,PSE,Population growth (annual %),SP.POP.GROW,2.24610527580178,1.98868634871278,2.5330114844554,2.51178246264674,2.48654993848325,2.45703865277568,2.42553777623863,2.39326476511584,2.36027908447521,2.32556364928187
West Bank and Gaza,PSE,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,100.0,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
West Bank and Gaza,PSE,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
World,WLD,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,65.4027850677184,66.8675305485826,68.3299921154472,69.6959280065216,71.0667001168458,72.2836981445827,73.3664980176387,74.4314693135029,,
World,WLD,Access to electricity (% of total population),EG.ELC.ACCS.ZS,88.1080967238499,88.9357124003312,89.8011777019155,90.1089635853778,90.3995467820191,91.3385144099012,91.2817736699915,91.6034762480239,91.9264843853681,
World,WLD,Population growth (annual %),SP.POP.GROW,1.16421950591116,1.13020643248041,1.07605676712646,1.04700835294043,0.981397900581612,0.833112789177893,0.867263337143777,0.926690595591761,0.962423716684401,0.911303701154864
World,WLD,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,79.1645819936555,80.8575292596875,81.9366171403556,82.6158530717673,82.9481576662001,84.4796396816111,84.0067645437043,84.4090302366377,84.8934296194104,
World,WLD,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,96.9099577945191,97.1509053257643,97.0416994282643,97.2923827249024,97.264050872422,97.6449558410513,97.6500453915034,97.7827349245989,97.7613564357838,
"Yemen, Rep.",YEM,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,55.8,55.0,54.1,52.7,51.3,50.1,48.8,47.3,,
"Yemen, Rep.",YEM,Access to electricity (% of total population),EG.ELC.ACCS.ZS,68.9,79.2,62.0,72.8,73.9,74.9,76.0,83.6,86.3,
"Yemen, Rep.",YEM,Population growth (annual %),SP.POP.GROW,3.00213847021681,3.01222786189552,2.96037896642737,2.96633475184571,2.87320414785733,2.74426152997255,2.87334358526139,3.00980765711571,2.98210396880689,2.8917915150724
"Yemen, Rep.",YEM,energy_poverty_electricity_rural (% of rural population),EG.ELC.ACCS.RU.ZS,55.6,71.4,,60.7,62.1,63.4,63.5,75.3,81.3,
"Yemen, Rep.",YEM,energy_poverty_electricity_urban (% of urban population),EG.ELC.ACCS.UR.ZS,93.0,93.0,85.0,93.1,93.1,93.1,96.1,96.1,95.0,
Zambia,ZMB,Access to Clean Fuels and Technologies for cooking (% of total population),EG.CFT.ACCS.ZS,13.3,12.8,12.1,11.5,10.9,10.2,9.7,9.2,,
Zambia,ZMB,Access to electricity (% of total population),EG.ELC.ACCS.ZS,35.4,40.3,40.2,43.0,44.6,46.7,47.8,51.1,53.6,
Zambia,ZMB,Population growth (annual %),SP.POP.GROW,3.09409054089327,3.06754137743233,3.0060186177754,2.96162166175699,2.9041649369132,2.81534240626742,2.76365042984169,2.79406758723844,2.81182258530958,2.77109662765952
